sourceFolder,physicalSize,fileCount,complete,missingRoles,duplicateRoles,originalPixels,matchConfidence,readyForUpload,suggestedArtworkId,suggestedSlug,suggestedTitle,matchReasons,candidateSlugs,reviewStatus,confirmedArtworkId,confirmedSlug,reviewNotes
30-40-2,30x40cm,7,false,,anglex2 exact,1322x1279,high,false,OfsmPgN5lUDWsUtL2tZqzs,rain-garden-lines,Rain Garden Lines,Sanity main image pixels,rain-garden-lines:100;green-rain-study:60;lime-blossom-field:60;magenta-cloud-garden:60;mint-field:60,,,,
30-40-3,30x40cm,5,false,original,,,review,false,,,,,green-rain-study:60;lime-blossom-field:60;magenta-cloud-garden:60;mint-field:60;nocturne-diptych:60,,,,
30-40-5,30x40cm,7,false,original,anglex2;bedroomx2,,review,false,,,,,green-rain-study:60;lime-blossom-field:60;magenta-cloud-garden:60;mint-field:60;nocturne-diptych:60,,,,
30-40-7,30x40cm,6,true,,,1279x1736,high,true,OfsmPgN5lUDWsUtL2tZqRI,violet-moss,Violet Moss,Sanity main image pixels;listed artwork size,violet-moss:160;green-rain-study:60;lime-blossom-field:60;magenta-cloud-garden:60;mint-field:60,,,,
30-40-10,30x40cm,4,false,angle;bedroom,,1282x1688,high,false,OfsmPgN5lUDWsUtL2tZqA0,magenta-cloud-garden,Magenta Cloud Garden,Sanity main image pixels;listed artwork size,magenta-cloud-garden:160;green-rain-study:60;lime-blossom-field:60;mint-field:60;nocturne-diptych:60,,,,
30-40-12,30x40cm,5,false,original;bedroom,detailx2,,review,false,,,,,green-rain-study:60;lime-blossom-field:60;magenta-cloud-garden:60;mint-field:60;nocturne-diptych:60,,,,
40-40,40x40cm,6,true,,,1279x1319,high,true,OfsmPgN5lUDWsUtL2tZq1M,night-particles,Night Particles,Sanity main image pixels;listed artwork size,night-particles:160;aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60,,,,
40-40-1,40x40cm,6,true,,,1292x1284,high,true,OfsmPgN5lUDWsUtL2tZew4,purple-line-gesture,Purple Line Gesture,Sanity main image pixels;listed artwork size,purple-line-gesture:160;aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60,,,,
40-40-3,40x40cm,6,true,,,1349x1279,high,true,OfsmPgN5lUDWsUtL2tZrU8,striped-lotus-field,Striped Lotus Field,Sanity main image pixels;listed artwork size,striped-lotus-field:160;aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60,,,,
40-40-4,40x40cm,6,true,,,1302x1278,high,true,OfsmPgN5lUDWsUtL2tZrYS,indigo-bloom,Indigo Bloom,Sanity main image pixels;listed artwork size,indigo-bloom:160;aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60,,,,
40-40-5,40x40cm,6,true,,,1278x1314,high,true,OfsmPgN5lUDWsUtL2tZrcm,pink-rain-field,Pink Rain Field,Sanity main image pixels;listed artwork size,pink-rain-field:160;aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60,,,,
40-40-6,40x40cm,6,true,,,1291x1279,high,true,XK7N94x9IeMzLuOXBWSkkr,soft-signal-meadow,Soft Signal Meadow,Sanity main image pixels;listed artwork size,soft-signal-meadow:160;aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60,,,,
40-40-7,40x40cm,6,true,,,1312x1278,high,true,OfsmPgN5lUDWsUtL2tZenQ,sea-foam-field,Sea Foam Field,Sanity main image pixels;listed artwork size,sea-foam-field:160;aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60,,,,
40-40-8,40x40cm,5,false,living_room,,1276x1280,review,false,,,,,blue-mineral-cloud:160;blue-rain-veil:160;earth-song:160;aqua-city-garden:60;green-reflection:60,,,,
40-40-9,40x40cm,5,false,original,,,review,false,,,,,aqua-city-garden:60;blue-mineral-cloud:60;blue-rain-veil:60;earth-song:60;green-reflection:60,,,,
